2018.09.10 00:50:20.484 | < W | ffe5 | ffe9 | 5611192400f0aa (V  $   )
2018.09.10 00:50:20.487 | < W | ffe5 | ffe9 | 5610152400f0aa (V  $   )
2018.09.10 00:50:20.527 | < W | ffe5 | ffe9 | 5610132400f0aa (V  $   )
2018.09.10 00:50:20.530 | < W | ffe5 | ffe9 | 560f112400f0aa (V  $   )
2018.09.10 00:50:20.532 | < W | ffe5 | ffe9 | 560f102400f0aa (V  $   )
2018.09.10 00:50:20.572 | < W | ffe5 | ffe9 | 56110f2400f0aa (V  $   )
2018.09.10 00:50:20.575 | < W | ffe5 | ffe9 | 56130f2400f0aa (V  $   )
2018.09.10 00:50:20.577 | < W | ffe5 | ffe9 | 56150f2400f0aa (V  $   )
2018.09.10 00:50:20.617 | < W | ffe5 | ffe9 | 5617102400f0aa (V  $   )
2018.09.10 00:50:20.619 | < W | ffe5 | ffe9 | 5619102400f0aa (V  $   )
2018.09.10 00:50:20.663 | < W | ffe5 | ffe9 | 561b102400f0aa (V  $   )
2018.09.10 00:50:20.665 | < W | ffe5 | ffe9 | 561e102400f0aa (V  $   )
2018.09.10 00:50:20.667 | < W | ffe5 | ffe9 | 5620102400f0aa (V  $   )
2018.09.10 00:50:20.707 | < W | ffe5 | ffe9 | 5622112400f0aa (V" $   )
2018.09.10 00:50:20.709 | < W | ffe5 | ffe9 | 5624112200f0aa (V$ "   )
2018.09.10 00:50:20.711 | < W | ffe5 | ffe9 | 5624102000f0aa (V$     )
2018.09.10 00:50:20.752 | < W | ffe5 | ffe9 | 5624101d00f0aa (V$     )
2018.09.10 00:50:20.754 | < W | ffe5 | ffe9 | 56240f1b00f0aa (V$     )
2018.09.10 00:50:20.797 | < W | ffe5 | ffe9 | 56240f1900f0aa (V$     )
2018.09.10 00:50:20.799 | < W | ffe5 | ffe9 | 56240f1700f0aa (V$     )
2018.09.10 00:50:20.801 | < W | ffe5 | ffe9 | 56240e1500f0aa (V$     )
2018.09.10 00:50:20.842 | < W | ffe5 | ffe9 | 56240e1300f0aa (V$     )
2018.09.10 00:50:20.844 | < W | ffe5 | ffe9 | 56240e1100f0aa (V$     )
2018.09.10 00:50:20.846 | < W | ffe5 | ffe9 | 56240e1000f0aa (V$     )
2018.09.10 00:50:20.932 | < W | ffe5 | ffe9 | 5624150e00f0aa (V$     )
2018.09.10 00:50:20.934 | < W | ffe5 | ffe9 | 5624170e00f0aa (V$     )
2018.09.10 00:50:20.977 | < W | ffe5 | ffe9 | 56241a0d00f0aa (V$     )
2018.09.10 00:50:20.979 | < W | ffe5 | ffe9 | 56241c0d00f0aa (V$     )
2018.09.10 00:50:20.981 | < W | ffe5 | ffe9 | 56241e0c00f0aa (V$     )
2018.09.10 00:50:21.022 | < W | ffe5 | ffe9 | 5624210c00f0aa (V$!    )
2018.09.10 00:50:21.024 | < W | ffe5 | ffe9 | 5623240b00f0aa (V#$    )
2018.09.10 00:50:21.026 | < W | ffe5 | ffe9 | 561f240900f0aa (V $    )
2018.09.10 00:50:21.067 | < W | ffe5 | ffe9 | 561b240800f0aa (V $    )
2018.09.10 00:50:21.069 | < W | ffe5 | ffe9 | 5619240700f0aa (V $    )
2018.09.10 00:50:21.112 | < W | ffe5 | ffe9 | 5616240700f0aa (V $    )
2018.09.10 00:50:21.114 | < W | ffe5 | ffe9 | 5614240700f0aa (V $    )
2018.09.10 00:50:21.116 | < W | ffe5 | ffe9 | 5612240600f0aa (V $    )
2018.09.10 00:50:21.157 | < W | ffe5 | ffe9 | 5610240700f0aa (V $    )
2018.09.10 00:50:21.159 | < W | ffe5 | ffe9 | 560e240700f0aa (V $    )
2018.09.10 00:50:21.161 | < W | ffe5 | ffe9 | 560d240800f0aa (V $    )
2018.09.10 00:50:21.202 | < W | ffe5 | ffe9 | 560c240800f0aa (V $    )
2018.09.10 00:50:21.204 | < W | ffe5 | ffe9 | 560b240900f0aa (V $    )
2018.09.10 00:50:21.247 | < W | ffe5 | ffe9 | 560a240a00f0aa (V $    )
2018.09.10 00:50:21.249 | < W | ffe5 | ffe9 | 560b240c00f0aa (V $    )
2018.09.10 00:50:21.251 | < W | ffe5 | ffe9 | 560c241000f0aa (V $    )
2018.09.10 00:50:21.337 | < W | ffe5 | ffe9 | 560d241200f0aa (V $    )
2018.09.10 00:50:21.339 | < W | ffe5 | ffe9 | 560e241500f0aa (V $    )
2018.09.10 00:50:21.342 | < W | ffe5 | ffe9 | 560f241700f0aa (V $    )
2018.09.10 00:50:21.345 | < W | ffe5 | ffe9 | 5610241900f0aa (V $    )
2018.09.10 00:50:21.348 | < W | ffe5 | ffe9 | 5611241b00f0aa (V $    )
2018.09.10 00:50:21.382 | < W | ffe5 | ffe9 | 5611241e00f0aa (V $    )
2018.09.10 00:50:21.384 | < W | ffe5 | ffe9 | 5611242000f0aa (V $    )
2018.09.10 00:50:21.386 | < W | ffe5 | ffe9 | 5611242300f0aa (V $#   )
2018.09.10 00:50:21.427 | < W | ffe5 | ffe9 | 5611212400f0aa (V !$   )
2018.09.10 00:50:21.429 | < W | ffe5 | ffe9 | 56111c2400f0aa (V  $   )
2018.09.10 00:50:21.432 | < W | ffe5 | ffe9 | 5611172400f0aa (V  $   )
2018.09.10 00:50:21.517 | < W | ffe5 | ffe9 | 5611112400f0aa (V  $   )
2018.09.10 00:50:21.519 | < W | ffe5 | ffe9 | 5614112400f0aa (V  $   )
2018.09.10 00:50:21.521 | < W | ffe5 | ffe9 | 5616112400f0aa (V  $   )
2018.09.10 00:50:21.525 | < W | ffe5 | ffe9 | 5618112400f0aa (V  $   )
2018.09.10 00:50:21.528 | < W | ffe5 | ffe9 | 5619112400f0aa (V  $   )
2018.09.10 00:50:21.562 | < W | ffe5 | ffe9 | 561c112400f0aa (V  $   )
2018.09.10 00:50:21.564 | < W | ffe5 | ffe9 | 561e102400f0aa (V  $   )
2018.09.10 00:50:21.566 | < W | ffe5 | ffe9 | 561f102400f0aa (V  $   )
2018.09.10 00:50:21.653 | < W | ffe5 | ffe9 | 5621102400f0aa (V! $   )
2018.09.10 00:50:21.654 | < W | ffe5 | ffe9 | 5623112400f0aa (V# $   )
2018.09.10 00:50:21.657 | < W | ffe5 | ffe9 | 5624112300f0aa (V$ #   )
2018.09.10 00:50:21.660 | < W | ffe5 | ffe9 | 5624102000f0aa (V$     )
2018.09.10 00:50:21.663 | < W | ffe5 | ffe9 | 5624101e00f0aa (V$     )
